ID;CASE;SERIAL;REF;QUESTNNR;MODE;STARTED;BF01_01;BF01_02;BF01_03;BF01_04;BF01_05;BF01_06;BF01_07;BF01_08;BF01_09;BF01_10;BF01_11;BF01_12;BF01_13;BF01_14;BF01_15;BF01_16;BF01_17;BF01_18;BF01_19;BF01_20;BF02_21;BF02_22;BF02_23;BF02_24;BF02_25;BF02_26;BF02_27;BF02_28;BF02_29;BF02_30;BF02_31;BF02_32;BF02_33;BF02_34;BF02_35;BF02_36;BF02_37;BF02_38;BF02_39;BF02_40;BF03_61;BF03_42;BF03_43;BF03_44;BF03_45;BF03_46;BF03_47;BF03_48;BF03_49;BF03_50;BF03_51;BF03_52;BF03_53;BF03_54;BF03_55;BF03_56;BF03_57;BF03_58;BF03_59;BF03_60;DP03_01;DP03_02;DP05_01;DP05_02;DP06_01;DP08_01;DP08_02;DP09_01;DP09_02;DP10_01;DP10_02;DP11_01;DP11_02;DP12_01;DP12_02;DP13_01;DP13_02;DP14_01;DP14_02;DP16_01;DP16_02;DP17_01;DP19_01;DP19_02;DP20_01;DP20_02;DP21_01;DP21_02;DP22_01;DP22_02;DP23_01;DP23_02;DP24_01;DP24_02;DP25_01;DP25_02;DP27_01;DP27_02;DP28_01;DP30_01;DP30_02;DP31_01;DP31_02;DP32_01;DP32_02;DP33_01;DP33_02;DP34_01;DP34_02;DP35_01;DP35_02;DP36_01;DP36_02;DP38_01;DP38_02;DP39_01;DP41_01;DP41_02;DP42_01;DP42_02;DP43_01;DP43_02;DP44_01;DP44_02;DP45_01;DP45_02;DP46_01;DP46_02;DP47_01;DP47_02;JS02_01;JS02_02;JS02_03;JS02_04;JS02_05;JS02_06;JS02_07;JS02_08;JS02_09;JS02_10;JS03_01;JS03_02;JS03_03;JS03_04;JS03_05;JS03_11;JS03_06;JS03_07;JS03_08;JS03_09;JS03_10;JS04_01;JS04_02;JS04_03;JS04_04;JS04_05;JS04_06;JS04_07;JS04_08;JS04_09;JS04_10;JS05_01;JS05_02;JS05_03;JS05_04;JS05_05;JS05_06;JS05_07;JS05_08;JS05_09;JS05_10;SD01_01;SD02;SD03_01;SD03_01a;SD04_01;IV01_01;T1;T2;T3;T4;IV02_01;ZZ01_01;ZZ02_01;DQ01_01;DQ01_02;SE01_01;SE01_02;SE01_03;SE01_04;SE01_05;SE01_06;PC01_01;PC01_02;PC01_03;PC01_04;P_CODE;EV01;EV01_01;TIME001;TIME002;TIME003;TIME004;TIME005;TIME006;TIME007;TIME008;TIME009;TIME010;TIME011;TIME012;TIME013;TIME014;TIME015;TIME016;TIME017;TIME019;TIME021;TIME022;TIME024;TIME025;TIME026;TIME027;TIME028;TIME029;TIME030;TIME031;TIME032;TIME033;TIME034;TIME036;TIME037;TIME038;TIME039;TIME040;TIME041;TIME042;TIME043;TIME044;TIME045;TIME047;TIME049;TIME050;TIME051;TIME052;TIME053;TIME054;TIME055;TIME056;TIME057;TIME058;TIME059;TIME062;TIME063;TIME064;TIME065;TIME066;TIME067;TIME068;TIME069;TIME070;TIME071;TIME072;TIME073;TIME_SUM;MAILSENT;LASTDATA;FINISHED;Q_VIEWER;LASTPAGE;MAXPAGE;MISSING;MISSREL;TIME_RSI;DEG_TIME
1;297;;;base;interview;18/06/2018 9:02;5;5;3;6;4;4;6;5;1;6;6;2;1;1;1;2;6;2;4;6;5;3;2;1;4;5;4;6;1;2;3;2;1;6;5;3;5;1;1;6;3;2;4;3;2;2;2;6;5;5;6;6;5;2;3;6;4;6;2;6;4;1;7;2;2;1;1;0;0;0;0;0;0;0;0;0;0;0;0;7;10;2;1;1;0;0;0;0;0;0;0;0;0;0;0;0;10;2;2;1;1;1;1;0;0;0;0;0;0;0;0;0;0;10;10;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;6;6;3;4;3;3;4;2;3;3;4;4;5;3;3;5;4;3;1;2;2;6;6;6;6;3;2;1;1;3;4;5;6;6;5;5;6;4;6;4;5;19;2;Law and Economics;1;2;2;2;4;3;1;StartR2-EndR2,StartR4-EndR4,StartR3-EndR3,StartR1-EndR1,Verl;9;7;5;5;5;4;4;2;2;2;L;G;M;21;LGM21;1;2;12;59;58;4;110;7;71;76;52;41;51;97;87;5;19;55;9;;12;6;5;1;4;10;3;3;3;5;3;34;13;48;4;32;12;5;6;5;4;4;15;12;7;2;7;4;5;3;4;3;4;31;7;9;2;19;11;3;3;3;3;4;13;17;45;1271;;18/06/2018 9:24;1;0;73;73;0;0;1.39;24
2;298;;;base;interview;18/06/2018 9:03;6;3;5;5;6;1;3;2;4;6;1;2;6;1;3;6;4;1;6;6;1;2;2;3;6;1;6;6;6;2;6;5;1;4;6;2;4;1;2;6;1;4;6;3;1;6;4;1;6;6;1;5;6;6;1;1;6;6;3;5;4;1;7;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7;10;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7;10;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;6;3;3;1;1;1;1;4;3;2;5;2;1;5;2;2;2;2;2;1;2;4;3;2;2;1;1;1;1;4;4;5;4;3;5;4;4;3;3;30;1;English Studies;1;10;1;1;4;2;3;StartR1-EndR1,StartR4-EndR4,StartR2-EndR2,StartR3-EndR3,Verl;5;3;5;5;6;4;6;5;6;5;R;W;B;52;52BWR;1;2;7;44;65;5;110;7;43;69;48;65;31;92;91;11;33;36;8;;29;15;7;3;12;11;8;7;6;6;8;12;8;3;2;7;5;5;8;5;6;6;10;6;5;2;8;5;6;6;5;5;5;21;41;7;1;6;7;7;6;7;5;5;11;26;13;1170;;18/06/2018 9:22;1;0;73;73;0;0;1.34;22
3;299;;;base;interview;18/06/2018 9:06;4;6;5;6;6;1;5;2;1;6;4;1;1;1;1;5;5;1;6;6;3;4;1;1;5;5;2;2;1;1;4;4;1;4;5;1;5;1;1;6;2;1;6;4;1;5;3;3;6;5;1;5;5;3;1;6;4;3;1;4;4;2;7;2;5;0;5;0;5;0;5;0;5;0;5;0;5;0;5;7;10;5;0;5;0;5;0;3;0;2;0;1;0;0;0;0;10;2;1;0;5;0;4;0;3;0;2;0;1;0;0;0;0;10;10;2;0;5;4;0;3;0;2;0;1;0;0;0;0;0;4;4;2;2;2;3;2;1;4;4;5;5;4;1;3;5;6;5;4;5;5;4;5;3;3;4;3;4;3;3;5;6;6;6;4;6;6;6;5;6;6;20;2;Germanistik, Sprache und Kommunikation in der globalisierten Mediengesellschaft;1;4;1;1;2;3;4;StartR1-EndR1,StartR2-EndR2,StartR3-EndR3,StartR4-EndR4,Verl;3;5;5;5;3;5;6;6;6;1;W;R;H;17;WRH17;1;2;14;73;73;5;80;9;46;56;44;34;32;77;85;5;20;47;19;31;42;14;10;5;62;14;6;5;4;4;4;25;8;5;3;7;5;8;5;5;5;6;25;23;10;3;20;6;4;5;4;6;4;18;6;7;3;8;12;5;4;4;5;5;13;34;25;1261;;18/06/2018 9:27;1;0;73;73;0;0;1.2;14
4;300;;;base;interview;18/06/2018 9:11;5;3;2;4;6;3;4;1;4;4;2;5;6;3;2;2;3;2;3;6;2;5;1;3;5;5;6;5;2;2;5;4;1;5;6;5;3;1;4;6;4;5;5;4;2;2;6;1;4;5;3;5;6;4;3;5;3;6;4;5;4;1;7;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7;10;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10;10;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;6;6;2;6;6;4;2;3;5;5;5;6;2;4;5;4;4;3;2;6;4;5;6;6;4;5;3;2;3;5;6;5;6;3;4;6;4;3;4;5;33;1;Psychologie;1;5;3;3;4;2;1;StartR3-EndR3,StartR4-EndR4,StartR2-EndR2,StartR1-EndR1,Verl;10;9;5;5;5;5;5;5;2;3;K;A;D;24;KAD24;1;2;105;6;36;4;63;4;49;41;36;52;22;60;63;5;8;35;7;;11;11;4;2;8;2;2;1;2;2;2;18;5;5;2;2;2;2;1;2;2;2;31;9;31;6;34;7;3;2;3;2;1;22;6;7;11;4;4;3;2;2;2;1;14;13;27;840;;18/06/2018 9:27;1;0;73;73;0;0;2;75
6;303;;;base;interview;18/06/2018 9:13;5;6;3;5;4;2;5;4;2;3;3;2;3;2;4;4;6;2;5;4;2;5;4;2;4;2;2;6;2;5;5;4;3;5;3;2;6;3;2;5;2;2;4;3;4;5;3;3;5;4;2;5;5;5;5;5;2;3;3;3;4;1;7;2;4;5;5;4;4;3;3;2;2;1;1;0;0;0;0;7;10;4;5;5;4;4;3;3;2;2;1;1;0;0;0;0;10;2;2;5;5;4;4;3;3;2;2;1;1;0;0;0;0;3;10;4;3;3;3;3;2;2;2;2;1;1;0;0;0;0;4;5;4;3;4;4;4;4;5;5;4;5;5;3;4;5;5;4;4;4;5;4;5;5;5;4;5;4;5;4;5;5;5;6;6;6;6;6;6;6;6;32;2;Romanistik;1;10;4;4;1;3;2;StartR4-EndR4,StartR1-EndR1,StartR3-EndR3,StartR2-EndR2,Verl;4;10;4;4;4;5;5;4;5;3;C;P;S;91;Cps19;1;2;7;11;40;4;72;3;27;35;25;33;17;38;41;4;4;14;6;;17;10;7;2;14;11;7;4;5;7;4;6;6;5;1;8;4;4;7;4;6;5;12;6;7;1;18;6;5;7;6;4;5;31;31;9;4;25;10;6;5;5;7;7;8;16;11;777;;18/06/2018 9:26;1;0;73;73;0;0;1.63;38
7;305;;;base;interview;18/06/2018 9:15;3;4;5;5;2;3;4;2;3;4;4;3;2;4;4;4;5;4;4;3;3;3;5;4;2;3;2;3;3;4;3;3;4;4;3;3;4;1;5;5;4;2;3;4;6;3;4;2;4;3;5;4;4;3;4;5;3;5;4;2;4;1;7;2;3;3;3;2;2;1;1;0;0;0;0;0;0;0;0;7;10;3;3;3;3;3;1;1;0;0;0;0;0;0;0;0;10;2;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10;10;3;2;2;1;1;0;0;0;0;0;0;0;0;0;0;3;4;4;4;4;3;3;3;4;4;3;3;4;3;4;5;4;4;4;4;4;4;4;4;4;3;4;3;2;3;3;5;4;5;4;4;5;4;5;5;5;25;1;Economics ;1;12;2;2;3;4;1;StartR2-EndR2,StartR3-EndR3,StartR4-EndR4,StartR1-EndR1,Verl;8;9;3;4;3;3;3;5;4;4;G;G;V;14;GGV14;1;2;5;63;85;8;87;13;71;67;73;49;34;90;81;9;49;47;8;;8;6;4;1;8;4;4;4;4;4;4;33;24;11;2;19;6;5;4;5;4;7;11;26;6;2;5;7;4;5;5;5;4;8;4;10;1;11;4;4;4;5;4;4;20;18;25;1212;;18/06/2018 9:36;1;0;73;73;0;0;1.47;29
8;306;;;base;interview;18/06/2018 9:18;4;4;4;6;6;4;6;2;3;4;4;1;4;1;3;3;4;3;5;6;5;5;1;4;5;3;2;3;2;5;2;5;2;5;6;4;6;1;1;6;1;1;2;4;1;4;4;2;6;5;5;6;6;3;1;5;3;4;1;5;4;1;6;2;5;5;5;4;4;3;3;2;2;1;1;0;0;0;0;5;2;5;5;5;4;4;3;3;2;2;1;1;0;0;0;0;5;2;1;1;1;0;0;0;0;0;0;1;1;0;0;0;0;5;2;4;4;4;3;3;2;2;1;1;0;0;0;0;0;0;4;5;3;2;4;1;2;6;5;6;5;4;4;4;4;5;6;5;5;6;6;6;6;5;6;4;4;3;4;4;4;6;6;6;6;6;6;4;6;5;6;19;2;Romanistik/Philosophie ;1;2;3;3;1;2;4;StartR3-EndR3,StartR1-EndR1,StartR2-EndR2,StartR4-EndR4,Verl;3;9;5;5;4;5;5;3;2;1;A;K;B;14;AKB14;1;2;32;256;113;8;165;23;104;120;87;108;60;157;169;14;58;87;10;;44;17;8;2;21;6;7;4;4;7;5;68;14;9;3;12;4;7;5;4;5;7;94;60;49;7;125;19;17;16;44;6;11;20;14;9;1;7;11;8;5;7;6;5;17;28;34;2201;;18/06/2018 9:59;1;0;73;73;0;0;0.88;9
9;307;;;base;interview;18/06/2018 9:23;3;3;5;5;5;3;4;5;1;3;4;2;1;1;1;5;4;2;5;6;3;1;6;4;4;1;4;1;4;4;5;2;3;5;5;2;5;2;2;6;3;1;1;4;2;5;2;2;5;4;3;3;5;2;2;4;5;5;2;4;4;1;7;2;5;5;5;6;4;4;3;3;2;2;1;0;4;0;3;7;10;5;4;4;3;4;2;3;1;3;1;2;0;2;0;2;10;2;1;1;5;0;5;0;5;0;4;0;4;0;3;0;3;10;10;3;2;5;1;4;1;4;0;3;0;3;0;3;0;2;4;4;5;3;4;5;2;3;4;5;4;4;4;3;4;5;5;2;4;4;4;6;6;6;6;4;5;2;3;5;4;6;5;6;5;5;6;6;4;5;5;29;1;Geodäsie und Geoinformation;1;16;1;1;2;3;4;StartR1-EndR1,StartR2-EndR2,StartR3-EndR3,StartR4-EndR4,Verl;3;7;5;5;5;5;5;2;6;5;P;N;K;12;PNK12;1;2;18;102;38;5;115;14;106;77;81;59;40;118;122;10;432;60;9;;53;10;13;5;64;56;41;6;8;65;18;26;10;14;3;33;13;12;9;8;19;3;45;7;23;1;46;8;14;4;6;17;5;36;6;11;1;26;11;10;6;4;10;6;30;27;33;1786;;18/06/2018 10:01;1;0;73;73;0;0;0.87;6
11;309;;;base;interview;18/06/2018 9:30;6;2;5;5;6;2;3;3;2;5;2;5;2;2;2;5;5;2;3;6;2;2;5;4;5;1;5;1;4;5;5;3;2;6;5;1;4;1;4;6;2;4;3;6;1;6;1;3;5;6;2;3;5;2;1;1;2;6;2;4;4;1;7;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7;10;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10;10;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;5;3;5;2;1;1;6;3;4;5;4;3;1;4;5;3;3;5;3;4;5;6;6;5;5;4;5;6;5;5;3;5;4;6;4;4;4;3;4;4;22;1;Volkswirtschaftslehre;1;6;4;4;2;3;1;StartR4-EndR4,StartR2-EndR2,StartR3-EndR3,StartR1-EndR1,Verl;4;4;5;5;5;5;6;6;6;1;S;M;G;22;SMG22;1;2;45;45;46;4;74;8;50;68;45;59;35;79;80;17;19;32;5;;9;5;4;2;3;4;4;4;3;4;3;20;8;4;2;9;5;7;9;4;4;5;18;18;7;2;8;4;4;4;4;3;4;32;12;8;3;35;17;6;5;5;5;8;19;16;53;1133;;18/06/2018 9:49;1;0;73;73;0;0;1.39;26
12;311;;;base;interview;18/06/2018 9:34;3;3;3;2;5;4;3;5;2;3;3;2;2;1;2;2;2;3;3;3;3;4;3;4;5;4;5;3;5;4;4;3;5;4;4;4;4;5;4;4;2;3;2;3;2;3;3;2;2;3;2;2;2;3;2;3;2;2;3;3;4;1;7;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7;10;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10;10;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;5;4;6;4;5;5;4;4;4;5;5;4;5;4;4;5;4;4;4;4;5;4;4;5;4;4;5;5;5;4;5;5;5;5;5;5;5;5;5;5;22;1;Geography ;1;6;3;3;2;4;1;StartR3-EndR3,StartR2-EndR2,StartR4-EndR4,StartR1-EndR1,Verl;10;7;4;4;4;4;4;4;3;4;A;S;K;5;ASK05;1;2;2000;5;46;3;53;4;37;13;13;15;17;15;19;5;19;54;5;;6;4;5;2;6;5;5;4;4;5;4;13;29;11;3;11;5;5;5;4;9;7;39;28;30;5;32;11;7;6;5;10;6;14;4;12;1;6;6;4;6;4;5;5;16;16;15;780;;18/06/2018 10:20;1;0;73;73;0;0;1.58;48
